Timestamp,TA46-0154 Building Electric Meter -2 Real Power Phase C,TA46-0154 Building Electric Meter -2 Voltage Phase A-N,TA46-0154 Building Electric Meter -1 cumulative energy register 1,TA46-0154 Building Electric Meter -2 Reactive Power Phase C,"TA46-0154 Building Electric Meter -2 Total Real Power ",TA46-0154 Building Electric Meter -2 Voltage Phase B-N,TA46-0154 Building Electric Meter -1 Real Power Phase A,TA46-0154 Building Electric Meter -1 Cumulative Energy,TA46-0154 Building Electric Meter -1 cached Consumption,TA46-0154 Building Electric Meter -2 energy imported,TA46-0154 Building Electric Meter -1 Real Power Phase B,TA46-0154 Building Electric Meter -1 energy imported,TA46-0154 Building Electric Meter -1 Reactive Power Phase B,TA46-0154 Virtual Meters Total HVAC Power,TA46-0154 Building Electric Meter -2 cached Consumption,TA46-0154 Building Electric Meter -2 Real Power Phase A,TA46-0154 Building Electric Meter -1 Voltage Phase B-N,TA46-0154 Building Electric Meter -1 Voltage Phase C-N,TA46-0154 Building Electric Meter -2 Real Power Phase B,TA46-0154 Building Electric Meter -2 Voltage Phase C-N,TA46-0154 Building Electric Meter -1 Voltage Phase A-N,TA46-0154 Building Electric Meter -1 Reactive Power Phase A,"TA46-0154 Building Electric Meter -1 Total Real Power ",TA46-0154 Building Electric Meter -2 cumulative elec energy,TA46-0154 Building Electric Meter -2 Reactive Power Phase A,TA46-0154 Building Electric Meter -1 Reactive Power Phase C,TA46-0154 Building Electric Meter -2 Consumption,TA46-0154 Building Electric Meter -1 Real Power Phase C,TA46-0154 Building Electric Meter -1 Consumption,TA46-0154 Building Electric Meter -2 Reactive Power Phase B
2021-05-23T06:55:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T07:00:00-06:00 Denver,"","","","","","","","","","","","","",73.17391502999999kW,"","","","","","","","","","","","","","",27kWh,""
2021-05-23T07:05:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T07:10:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T07:15:00-06:00 Denver,"","","","","","","","","","","","","",78.55611972489633kW,"","","","","","","","","","","","","","","",""
2021-05-23T07:20:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T07:25:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T07:30:00-06:00 Denver,"","","","","","","","","","","","","",73.1631597465638kW,"","","","","","","","","","","","","","","",""
2021-05-23T07:35:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-23T07:40:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T07:45:00-06:00 Denver,"","","","","","","","","","","","","",73.18042685643013kW,"","","","","","","","","","","","","","","",""
2021-05-23T07:50:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T07:55:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-23T08:00:00-06:00 Denver,"","","","","","","","","","","","","",84.97487988349619kW,"","","","","","","","","","","","","","",32kWh,""
2021-05-23T08:05:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T08:10:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-23T08:15:00-06:00 Denver,"","","","","","","","","","","","","",73.16855988349617kW,"","","","","","","","","","","","","","","",""
2021-05-23T08:20:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T08:25:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-23T08:30:00-06:00 Denver,"","","","","","","","","","","","","",73.15512702999999kW,"","","","","","","","","","","","","","","",""
2021-05-23T08:35:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T08:40:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-23T08:45:00-06:00 Denver,"","","","","","","","","","","","","",72.76814098kW,"","","","","","","","","","","","","","","",""
2021-05-23T08:50:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T08:55:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-23T09:00:00-06:00 Denver,"","","","","","","","","","","","","",73.03481351775639kW,"","","","","","","","","","","","","","",40kWh,""
2021-05-23T09:05:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T09:10:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-23T09:15:00-06:00 Denver,"","","","","","","","","","","","","",72.53039487999999kW,"","","","","","","","","","","","","","","",""
2021-05-23T09:20:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T09:25:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-23T09:30:00-06:00 Denver,"","","","","","","","","","","","","",72.50030021139992kW,"","","","","","","","","","","","","","","",""
2021-05-23T09:35:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T09:40:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-23T09:45:00-06:00 Denver,"","","","","","","","","","","","","",72.52043903849308kW,"","","","","","","","","","","","","","","",""
2021-05-23T09:50:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T09:55:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-23T10:00:00-06:00 Denver,"","","","","","","","","","","","","",72.52043903849308kW,"","","","","","","","","","","","","","",37kWh,""
2021-05-23T10:05:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-23T10:10:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T10:15:00-06:00 Denver,"","","","","","","","","","","","","",72.54027513581364kW,"","","","","","","","","","","","","","","",""
2021-05-23T10:20:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-23T10:25:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T10:30:00-06:00 Denver,"","","","","","","","","","","","","",78.74124634749212kW,"","","","","","","","","","","","","","","",""
2021-05-23T10:35:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T10:40:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T10:45:00-06:00 Denver,"","","","","","","","","","","","","",77.95390312272619kW,"","","","","","","","","","","","","","","",""
2021-05-23T10:50:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T10:55:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
